Car VIN          ,Type of Car,# of seats,Avg. distance of rides,Avg. # of customers per day,Avg. Price per minute,Date      ,Time ,Location lonitude (current),Location latitude (current),Tank Filling (current)
1GYEK63N86R457079,Drive Now  ,3         ,19km                  ,4                          ,69�                  ,21.2.2019 ,6.3  ,11.37020938                ,48.9529448                 ,88%
WBAPH5C56BF387047,Car2Go     ,5         ,68km                  ,13                         ,39�                  ,14.5.2019 ,19.15,11.58072814                ,48.12433496                ,26%
1J4RG4GK7AC830793,Drive Now  ,4         ,61km                  ,17                         ,95�                  ,24.9.2019 ,14.42,11.54475457                ,48.1162558                 ,37%
1FMHK7B83CG380819,Car2Go     ,2         ,81km                  ,18                         ,80�                  ,31.8.2019 ,23.21,11.51843007                ,48.13830840                ,27%
WAUVC68E72A741532,Car2Go     ,3         ,12km                  ,6                          ,93�                  ,28.5.2018 ,18.45,11.6863909                 ,48.4038893                 ,56%
1GD311CG6FF958733,Car2Go     ,2         ,9km                   ,2                          ,39�                  ,21.6.2017 ,10.43,11.15350139                ,48.7248900                 ,97%
1GT022CG6EF619141,Drive Now  ,2         ,26km                  ,1                          ,86�                  ,2.12.2019 ,1.57 ,11.71096742                ,48.27614537                ,40%
WAUSF98E17A930275,Drive Now  ,5         ,90km                  ,29                         ,91�                  ,28.3.2017 ,19.31,11.47548669                ,48.202284                  ,94%
WAUKFAFL2DN707265,Car2Go     ,5         ,51km                  ,4                          ,38�                  ,19.11.2017,10.53,11.8868303                 ,48.26693941                ,57%
YV4952BZ6E1774137,Car2Go     ,4         ,35km                  ,16                         ,84�                  ,23.10.2018,9.37 ,11.77936736                ,48.15663860                ,80%
WBAAX134X4P193515,Drive Now  ,5         ,6km                   ,9                          ,74�                  ,6.8.2018  ,13.24,11.22062911                ,48.5454972                 ,82%
1FMCU0F71DU109547,Drive Now  ,5         ,54km                  ,3                          ,88�                  ,7.5.2019  ,16.47,11.29523895                ,48.19028857                ,52%
WAUHF78P66A092145,Drive Now  ,5         ,11km                  ,8                          ,78�                  ,29.3.2018 ,9.19 ,11.63228208                ,48.6274871                 ,65%
1HGCR6F50EA416836,Drive Now  ,4         ,72km                  ,1                          ,69�                  ,14.9.2018 ,2.17 ,11.37350332                ,48.6973242                 ,42%
WBAUP93579V666441,Car2Go     ,2         ,1km                   ,16                         ,85�                  ,19.9.2019 ,11.23,11.28329083                ,48.25267052                ,91%
1GD11ZCGXCF821666,Drive Now  ,4         ,3km                   ,11                         ,70�                  ,7.6.2018  ,13.56,11.31861961                ,48.1599420                 ,63%
WA1LMBFE1DD370186,Drive Now  ,2         ,19km                  ,11                         ,62�                  ,12.10.2017,18.55,11.65485701                ,48.16344209                ,37%
3GYFNCE39FS571076,Car2Go     ,4         ,57km                  ,16                         ,60�                  ,14.2.2017 ,19.46,11.5618598                 ,48.17517207                ,4%
WBAPH5G5XAN754305,Car2Go     ,2         ,23km                  ,25                         ,59�                  ,5.5.2019  ,20.0 ,11.14830055                ,48.6517781                 ,15%
1GT3CZBG3AF842624,Car2Go     ,3         ,36km                  ,9                          ,71�                  ,11.8.2019 ,15.47,11.26227344                ,48.24958311                ,33%
WAUDGBFL7CA721065,Car2Go     ,4         ,89km                  ,4                          ,25�                  ,12.1.2019 ,19.53,11.80293482                ,48.19179450                ,87%
WAUBH78E48A809773,Drive Now  ,3         ,29km                  ,0                          ,28�                  ,15.2.2018 ,12.25,11.43918124                ,48.12258414                ,99%
JN1CV6EK1AM309954,Drive Now  ,5         ,69km                  ,8                          ,36�                  ,23.7.2019 ,2.40 ,11.6892656                 ,48.7468079                 ,21%
2C4RRGAG6DR721128,Car2Go     ,4         ,19km                  ,8                          ,46�                  ,14.6.2019 ,2.15 ,11.66231994                ,48.22641340                ,11%
1G6DC8E5XC0639781,Drive Now  ,4         ,86km                  ,18                         ,89�                  ,26.11.2017,12.32,11.71409221                ,48.20850072                ,18%
KL4CJBSB5FB519766,Drive Now  ,4         ,6km                   ,17                         ,75�                  ,19.2.2019 ,12.39,11.40440128                ,48.13692173                ,65%
5UXKS4C54F0494632,Car2Go     ,3         ,90km                  ,22                         ,41�                  ,16.5.2017 ,6.49 ,11.7783717                 ,48.15307936                ,14%
WA1CM94L19D383585,Car2Go     ,4         ,45km                  ,16                         ,90�                  ,26.1.2017 ,4.53 ,11.61748839                ,48.12109852                ,46%
WAUSH78E68A297241,Car2Go     ,4         ,78km                  ,24                         ,28�                  ,6.7.2019  ,2.34 ,11.10167939                ,48.939645                  ,60%
1G4GD5G37EF462457,Car2Go     ,2         ,64km                  ,29                         ,83�                  ,15.4.2019 ,12.50,11.7712280                 ,48.20575463                ,41%
WVGAV3AX2DW088325,Drive Now  ,3         ,74km                  ,20                         ,28�                  ,13.6.2019 ,8.0  ,11.33532267                ,48.3193002                 ,34%
WP0AA2A97AS103982,Drive Now  ,3         ,43km                  ,12                         ,59�                  ,26.2.2019 ,10.3 ,11.53982722                ,48.8711090                 ,78%
1N6AD0CU0DN130521,Drive Now  ,3         ,62km                  ,21                         ,44�                  ,24.1.2018 ,16.13,11.4854702                 ,48.23843304                ,72%
WA1LMAFE1ED339337,Drive Now  ,3         ,78km                  ,16                         ,25�                  ,15.2.2018 ,13.4 ,11.18158504                ,48.2680356                 ,28%
WBA5M6C52ED048083,Car2Go     ,4         ,89km                  ,22                         ,83�                  ,11.3.2017 ,4.57 ,11.21433020                ,48.8936741                 ,79%
KL4CJGSB0FB737157,Car2Go     ,4         ,27km                  ,20                         ,38�                  ,9.11.2017 ,11.21,11.44931817                ,48.14525716                ,27%
JTDKDTB30E1876879,Car2Go     ,4         ,45km                  ,26                         ,93�                  ,13.11.2018,16.18,11.18108411                ,48.14377969                ,88%
WBA3V9C57EP596813,Car2Go     ,5         ,57km                  ,4                          ,28�                  ,12.1.2017 ,10.36,11.38303404                ,48.20981743                ,3%
5UXZV4C50D0089533,Drive Now  ,4         ,56km                  ,12                         ,94�                  ,9.4.2019  ,4.54 ,11.61779182                ,48.6065677                 ,47%
WVWED7AJ1AW400304,Car2Go     ,3         ,47km                  ,27                         ,26�                  ,15.8.2018 ,10.19,11.29962453                ,48.7264071                 ,75%
2C3CDXEJXCH778595,Drive Now  ,3         ,43km                  ,29                         ,72�                  ,16.8.2019 ,2.8  ,11.44393399                ,48.12267189                ,13%
1N6AA0CAXCN276003,Car2Go     ,3         ,55km                  ,8                          ,39�                  ,13.9.2017 ,19.23,11.24109992                ,48.9348969                 ,31%
5LMJJ2J51EE854389,Car2Go     ,4         ,59km                  ,14                         ,66�                  ,22.10.2019,8.59 ,11.41930016                ,48.13645910                ,62%
WAUSF98K39N901524,Car2Go     ,5         ,41km                  ,27                         ,35�                  ,12.5.2017 ,21.35,11.49822913                ,48.13794611                ,31%
KMHTC6AD5CU664330,Drive Now  ,4         ,57km                  ,17                         ,94�                  ,18.2.2018 ,5.44 ,11.64359806                ,48.10946624                ,95%
1FAHP3FN1AW615227,Drive Now  ,3         ,18km                  ,13                         ,31�                  ,1.5.2017  ,23.26,11.27960746                ,48.16775295                ,1%
1C4NJCBA5FD581880,Drive Now  ,2         ,69km                  ,20                         ,35�                  ,16.7.2017 ,9.0  ,11.78130362                ,48.4729097                 ,47%
5N1AZ2MH0FN805963,Drive Now  ,4         ,57km                  ,26                         ,51�                  ,6.7.2018  ,9.7  ,11.28090770                ,48.2099540                 ,16%
1FBNE3BL1DD615978,Drive Now  ,5         ,77km                  ,24                         ,93�                  ,24.11.2019,6.35 ,11.35625352                ,48.11682837                ,45%
1GKMCAE37AR633078,Car2Go     ,2         ,82km                  ,26                         ,42�                  ,22.7.2017 ,16.22,11.42631165                ,48.12964102                ,60%
