CarVIN,TypeofCar,#ofseats,Avg.distanceofrides,Avg.#ofcustomersperday,Avg.Priceperminute,Date,Time,Locationlonitude(current),Locationlatitude(current),TankFilling(current)
1GYEK63N86R457079,Car2Go,5,63km,26,37€,6.10.2018,10.32,11.75791862,48.15002474,65%
WBAPH5C56BF387047,DriveNow,4,75km,26,63€,14.12.2018,4.43,11.40760965,48.15844544,60%
1J4RG4GK7AC830793,Car2Go,3,57km,5,69€,9.7.2018,23.31,11.5619232,48.5811162,70%
1FMHK7B83CG380819,DriveNow,2,13km,16,76€,25.4.2017,18.45,11.63347591,48.20172943,45%
WAUVC68E72A741532,DriveNow,3,30km,2,41€,7.11.2018,15.19,11.44016024,48.25221066,51%
1GD311CG6FF958733,Car2Go,2,66km,26,54€,29.1.2017,22.32,11.74209475,48.26940023,30%
1GT022CG6EF619141,DriveNow,5,1km,15,86€,10.9.2017,20.37,11.30865304,48.11994422,71%
WAUSF98E17A930275,DriveNow,2,24km,9,27€,1.11.2019,19.5,11.73414356,48.26873246,60%
WAUKFAFL2DN707265,DriveNow,4,90km,2,98€,22.7.2019,15.24,11.21196424,48.4089100,82%
YV4952BZ6E1774137,Car2Go,4,63km,4,89€,14.1.2019,9.40,11.52418752,48.18483539,34%
WBAAX134X4P193515,Car2Go,3,63km,21,99€,6.9.2019,12.3,11.51003776,48.8742103,28%
1FMCU0F71DU109547,Car2Go,5,44km,9,28€,5.3.2019,8.35,11.46292473,48.1198374,31%
WAUHF78P66A092145,Car2Go,5,78km,3,96€,7.5.2017,3.1,11.24078169,48.13160060,49%
1HGCR6F50EA416836,DriveNow,4,44km,5,79€,15.10.2019,11.17,11.42982154,48.18600739,42%
WBAUP93579V666441,Car2Go,3,1km,6,56€,20.12.2019,10.13,11.61978652,48.13856368,26%
1GD11ZCGXCF821666,Car2Go,3,63km,21,65€,27.7.2017,10.12,11.5915937,48.11426300,27%
WA1LMBFE1DD370186,Car2Go,3,45km,29,77€,11.2.2018,3.55,11.3077794,48.26018647,55%
3GYFNCE39FS571076,Car2Go,4,10km,3,67€,12.2.2017,9.2,11.49205232,48.14540607,54%
